10500,0.1228,0.2225,4.1948,5.5162,0.6518,0.0125
10600,0.1219,0.3130,4.2979,5.5189,0.7915,0.0126
10700,0.1218,0.2403,4.2891,5.5063,0.6948,0.0113
10800,0.1240,0.3809,4.0986,5.5189,0.9144,0.0128
10900,0.1249,0.2602,4.3525,5.5327,0.7964,0.0131
11000,0.1219,0.2726,4.2246,5.5002,0.7538,0.0115
11100,0.1222,0.2928,4.1807,5.4923,0.8238,0.0116
11200,0.1203,0.3158,4.0176,5.5011,0.8067,0.0121
11300,0.1219,0.2562,4.0015,5.5101,0.7198,0.0122
11400,0.1254,0.3061,4.1763,5.5267,0.7712,0.0125
11500,0.1239,0.2772,4.3535,5.5299,0.7507,0.0122
11600,0.1226,0.2341,4.1758,5.4880,0.7420,0.0134
11700,0.1203,0.2198,4.2554,5.5280,0.6838,0.0122
11800,0.1225,0.3154,4.2021,5.4912,0.8015,0.0115
11900,0.1229,0.3713,4.3027,5.5078,0.8058,0.0124
12000,0.1226,0.3550,4.2915,5.4889,0.8624,0.0123
